"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"youtube-live-stream-auto-embed","unknown","","4000"
"allfacebook-instant-articles","unknown","","4000"
"header-image-slider","unknown","","4000"
"click-to-tweet","unknown","","4000"
"woocommerce-for-japan","unknown","","4000"
"cartpauj-register-captcha","likely_yes","Doesn't include editor functionality","4000"
"post-or-page-hide-title","unknown","","4000"
"123contactform-for-wordpress","unknown","","4000"
"gravity-forms-sticky-list","unknown","","4000"
"404-notifier","unknown","","4000"
"spiffy-calendar","unknown","","4000"
"wp-hide-pages","unknown","","4000"
"lux-vimeo-shortcode","unknown","","4000"
"wp-facebook-like","unknown","","4000"
"wp-markdown","unknown","","4000"
"wp-spam-fighter","likely_yes","Doesn't include editor functionality","4000"
"language-fallback","unknown","","4000"
"wp-featured-content-and-slider","unknown","","4000"
"desktopserver","unknown","","4000"
"banner-upload","unknown","","4000"
"wp-facebook-fanbox-widget","unknown","","4000"
"wpfavs","unknown","","4000"
"webman-amplifier","unknown","","4000"
"posts-to-page","unknown","","4000"
"wp-multilingual-sitemap","unknown","","4000"
"woocommerce-easy-booking-system","unknown","","4000"
"simple-flickr-plugin","unknown","","4000"
"dropdown-menus","unknown","","4000"
"image-teleporter","unknown","","4000"
"woocommerce-lightbox","unknown","","4000"
"dont-muck-my-markup","unknown","","4000"
"open-graph-metabox","unknown","","4000"
"wp-scheduled-posts","unknown","","4000"
"pretty-pinterest-pins","unknown","","4000"
"acf-google-font-selector-field","unknown","","4000"
"remove-image-links","unknown","","4000"
"simple-monero-miner-coin-hive","unknown","","4000"
"wp-example-content","unknown","","4000"
"tax-rate-upload","unknown","","4000"
"yandexnews-feed-by-teplitsa","unknown","","4000"
"cf7-polylang","unknown","","4000"
"add-to-all","likely_yes","Doesn't include editor functionality","4000"
"just-custom-fields","unknown","","4000"
"wp-cookiechoise","unknown","","4000"
"rss-in-page","unknown","","4000"
"additional-image-sizes","unknown","","4000"
"slickquiz","unknown","","4000"
"widget-or-sidebar-per-shortcode","unknown","","4000"
"woosidebars-sbm-converter","unknown","","4000"
"everlightbox","unknown","","4000"
"modernizr","unknown","","4000"
"auto-limit-posts-reloaded","unknown","","4000"
"wp-site-verification-tool","unknown","","4000"
"extra-user-details","unknown","","4000"
"very-simple-meta-description","unknown","","4000"
"pinterest-verify-meta-tag","unknown","","4000"
"fedex-woocommerce-shipping-method","unknown","","4000"
"news-manager","unknown","","4000"
"wppdf","unknown","","4000"
"lazy-load-xt","unknown","","4000"
"sliding-widgets","unknown","","4000"
"social-metrics","unknown","","4000"
"mtouch-quiz","unknown","","4000"
"batchmove","unknown","","4000"
"simple-ldap-login","likely_yes","Doesn't include editor functionality","4000"
"extra-shortcodes","unknown","","4000"
"fancy-admin-ui","unknown","","4000"
"magazine-columns","unknown","","4000"
"dx-auto-save-images","unknown","","4000"
"who-hit-the-page-hit-counter","unknown","","4000"
"taxonomy-meta","unknown","","4000"
"iframe-embedder","unknown","","4000"
"monkeyman-rewrite-analyzer","unknown","","4000"
"page-transition","unknown","","4000"
"simple-breaks","unknown","","4000"
"acf-accordion","unknown","","4000"
"twitget","unknown","","4000"
"wc-responsive-video","unknown","","4000"
"install-profiles","unknown","","4000"
"advanced-custom-fields-coordinates","unknown","","4000"
"custom-post-order","unknown","","4000"
"stripe-for-woocommerce","unknown","","4000"
"temporary-login-without-password","likely_yes","Doesn't include editor functionality","4000"
"mobile-contact-bar","unknown","","4000"
"woocommerce-google-dynamic-retargeting-tag","unknown","","4000"
"wp-calameo","unknown","","4000"
"woo-login-redirect","unknown","","4000"
"vg-woocarousel","unknown","","4000"
"wp-farsi","unknown","","4000"
"frizzly","unknown","","4000"
"wp-fast-cache","unknown","","4000"
"apppresser","unknown","","4000"
"disable-emails","unknown","","4000"
"custom-headers-and-footers","unknown","","4000"
"oik-privacy-policy","unknown","","4000"
"photo-swipe","unknown","","4000"
"bulk-plugin-installation","unknown","","4000"
"pw-bulk-edit","unknown","","4000"
"wc-product-customer-list","unknown","","4000"
"new-facebook-like-share-follow-button","unknown","","4000"
"subpages-extended","unknown","","4000"
"wp-social-icons","unknown","","4000"
"import-facebook-events","unknown","","4000"
"wp-video-posts","unknown","","4000"
"display-all-image-sizes","unknown","","4000"
"wp-about-author","unknown","","4000"
"pro-categories-widget","unknown","","4000"
"wp-shop-original","unknown","","4000"
"woo-product-slider","unknown","","4000"
"color-and-image-swatches-for-variable-product-attributes","unknown","","4000"
"woocommerce-easy-table-rate-shipping","unknown","","4000"
"segmentio","likely_yes","Doesn't include editor functionality","4000"
"memphis-documents-library","unknown","","4000"
"wp-gmail-smtp","likely_yes","Doesn't include editor functionality","4000"
"facebook-likes-you","unknown","","4000"
"foogallery-zoom-template","unknown","","4000"
"flynsarmy-iframe-shortcode","unknown","","4000"
"better-plugin-compatibility-control","unknown","","4000"
"wp-paypal","unknown","","4000"
"soundpress","unknown","","4000"
"wp-font-awesome","unknown","","4000"
"simple-contact-form-revisited-plugin","unknown","","4000"
"fusion","unknown","","4000"
"jw-player","unknown","","4000"
"postmash","unknown","","4000"
"related-posts-via-categories","unknown","","4000"
"media-library-alt-fields","unknown","","4000"
"yeloni-free-exit-popup","unknown","","4000"
"next-page-not-next-post","unknown","","4000"
"yoast-seo-acf-analysis","unknown","","4000"
"playbuzz","unknown","","4000"
"wpautop-control","unknown","","4000"
"login-logo-editor-by-oizuled","unknown","","4000"
"html5-audio-player","unknown","","4000"
"mageewp-page-layout","unknown","","4000"
"woocommerce-paypal-pro-payment-gateway","unknown","","4000"
"woocommerce-video-product-tab","unknown","","4000"
"export-plugins-and-templates","unknown","","4000"
"author-bio-box","unknown","","4000"
"social-fabric-analytics-by-collective-bias","unknown","","4000"
"seo-facebook-comments","unknown","","4000"
"enhanced-wordpress-contactform","unknown","","4000"
"bamboo-columns","unknown","","4000"
"pt-elementor-addons-lite","unknown","","4000"
"wp-custom-taxonomy-image","unknown","","4000"
"admin-bar-dashboard-control","unknown","","4000"
"ocean-social-sharing","unknown","","4000"
"blog-mechanics-theme-gallery","unknown","","4000"
"read-more-excerpt-link","unknown","","4000"
"google-routeplaner","unknown","","4000"
"progress-bar","unknown","","4000"
"fontific","unknown","","4000"
"woo-product-images-slider","unknown","","4000"
"relative-image-urls","unknown","","4000"
"wp-thumb","unknown","","4000"
"ltrrtl-admin-content","unknown","","4000"
"yandex-share","unknown","","4000"
"admin-locale","unknown","","4000"
"easy-facebook-feed","unknown","","4000"
"squelch-tabs-and-accordions-shortcodes","unknown","","4000"
"posts-by-tag","unknown","","4000"
"avatar","unknown","","4000"
"complete-central-backup","likely_yes","Doesn't include editor functionality","4000"
"hs-social-media-buttons","unknown","","4000"
"page-break","unknown","","4000"
"simplest-adsense-ads-manager","unknown","","4000"
"permalink-trailing-slash-fixer","unknown","","4000"
"find-duplicates","unknown","","4000"
"zoom-widget","unknown","","4000"
"disable-right-click","unknown","","4000"
"cbnet-multi-author-comment-notification","unknown","","4000"
"custom-field-bulk-editor","unknown","","4000"
"wp-slug-translate","unknown","","4000"
"comments-disable-accesspress","unknown","","4000"
"easy-google-analytics-for-wordpress","likely_yes","Doesn't include editor functionality","4000"
"inpost-gallery","unknown","","4000"
"showeblogin-facebook-page-like-box","unknown","","4000"
"custom-header-images","unknown","","4000"
"easy-instagram","unknown","","4000"
"send-images-rss","unknown","","4000"
"ezphp","unknown","","4000"
"force-email-login","likely_yes","Doesn't include editor functionality","4000"
"insights","unknown","","4000"
"easy-wp-meta-description","unknown","","4000"
"arrow-twitter-feed","unknown","","4000"
"wp-knowledgebase","unknown","","4000"
"hot-linked-image-cacher","unknown","","4000"
"custom-skins-contact-form-7","unknown","","4000"
"yith-woocommerce-product-slider-carousel","unknown","","4000"
"wp-theme-changelogs","unknown","","4000"
"forms-for-campaign-monitor","unknown","","4000"
"remove-http","unknown","","4000"
"audio-album","unknown","","4000"
"woocommerce-custom-tabs","unknown","","4000"
"contact-form-7-confirm-email-feild","unknown","","4000"
"eu-cookie-law-compliance","unknown","","4000"
"advanced-most-recent-posts-mod","unknown","","4000"
"contact-forms","unknown","","4000"
"wp-cirrus","unknown","","4000"
"user-meta","unknown","","4000"
"wedevs-project-manager","unknown","","4000"
"jetpack-lite","unknown","","4000"
"wp-team-showcase-and-slider","unknown","","4000"
"appointment-calendar","unknown","","4000"
"ip2location-country-blocker","unknown","","4000"
"pagemeta","unknown","","4000"
"anspress-question-answer","unknown","","4000"
"organize-series","unknown","","4000"
"wp-fb-fan-box","unknown","","4000"
"wp-quicklatex","unknown","","4000"
"dw-twitter","unknown","","4000"
"wordpresscom-popular-posts","unknown","","4000"
"order-import-export-for-woocommerce","unknown","","4000"
"opcache","unknown","","4000"
"easy-noindex-and-nofollow","unknown","","4000"
"custom-background-changer","unknown","","4000"
"bulk-content-creator","unknown","","4000"
"wp-http-compression","unknown","","4000"
"orange-themes-custom-widgets","unknown","","4000"
"custom-posts-per-page","unknown","","4000"
"vg-postcarousel","unknown","","4000"
"issuu-pdf-sync","unknown","","4000"
"endora","unknown","","4000"
"currency-converter","unknown","","4000"
"under-construction-site","likely_yes","Doesn't include editor functionality","4000"
"genesis-widget-column-classes","unknown","","4000"
"show-hidecollapse-expand","unknown","","4000"
"onlywire-bookmark-share-button","unknown","","4000"
"gallery-videos","unknown","","4000"
"facebook-stream","unknown","","4000"
"social-comments","unknown","","4000"
"vice-versa","unknown","","4000"
"cf7-google-analytics","likely_yes","Doesn't include editor functionality","4000"
"yottie-lite","unknown","","4000"
"xili-language","unknown","","4000"
"buddypress-learndash","unknown","","4000"
"simple-popup","unknown","","4000"
"google-picasa-albums-viewer","unknown","","4000"
"ms-custom-login","likely_yes","Doesn't include editor functionality","4000"
"buddyforms","unknown","","4000"
"ccavanue-woocommerce-payment-getway","unknown","","4000"
"background-music-player-lite","unknown","","4000"
"simplemap","unknown","","4000"
"astickypostorderer","unknown","","4000"
"chronosly-events-calendar","unknown","","4000"
"add-actions-and-filters","unknown","","4000"
"yith-woocommerce-category-accordion","unknown","","4000"
"simple-taxonomy-ordering","unknown","","4000"
"integracao-rd-station","unknown","","4000"
"wordpress-nextgen-galleryview","unknown","","4000"
"wp-ffpc","unknown","","4000"
"wp-featured-content-slider","unknown","","4000"
"improved-save-button","unknown","","4000"
"thumbnail-cleaner","unknown","","4000"
"hl-twitter","unknown","","4000"
"http-headers","unknown","","4000"
"styles-twentythirteen","unknown","","4000"
"woo-product-gallery-slider","unknown","","4000"
"vk-post-author-display","unknown","","4000"
"advanced-backgrounds","unknown","","4000"
"salon-booking-system","unknown","","4000"
"skimlinks","unknown","","4000"
"amazing-hover-effects","unknown","","4000"
"add-code-to-head","unknown","","4000"
"woocommerce-payment-discounts","unknown","","4000"
"onceki-yazi-linki","unknown","","4000"
"digiproveblog","unknown","","4000"
"widget-builder","unknown","","4000"
"checkfront-wp-booking","unknown","","4000"
"advanced-custom-fields-oembed-field","unknown","","4000"
"web-ninja-google-analytics","likely_yes","Doesn't include editor functionality","4000"
"postlinks","unknown","","4000"
"amr-users","unknown","","4000"
"easy-foundation-shortcodes","unknown","","4000"
"pilotpress","unknown","","4000"
"add-multiple-users","unknown","","4000"
"bp-registration-options","unknown","","4000"
"zigwidgetclass","unknown","","4000"
"persian-woocommerce-sms","unknown","","4000"
"when-last-login","likely_yes","Doesn't include editor functionality","4000"
"audio-and-video-player","unknown","","4000"
"wp-cleanup","unknown","","4000"
"the-very-simple-vimeo-shortcode","unknown","","4000"
"scroll-to-top-button","unknown","","4000"
"all-in-one-intranet","unknown","","4000"
"woocommerce-product-tabs","unknown","","4000"
"adsense-in-post-ads-by-oizuled","unknown","","4000"
"hierarchical-pages","unknown","","3000"
"map-multi-marker","unknown","","3000"
"kau-boys-backend-localization","unknown","","3000"
"simple-optimizer","likely_yes","Doesn't include editor functionality","3000"
"wp-note","unknown","","3000"
"cooked","unknown","","3000"
"good-reviews-wp","unknown","","3000"
"jp-custom-css","unknown","","3000"
"featured-image-caption","unknown","","3000"
"wp-photo-sphere","unknown","","3000"
"widget-manager-light","unknown","","3000"
"twitter-stream","unknown","","3000"
"animated-gif-resize","unknown","","3000"
"simple-membership-custom-messages","unknown","","3000"
"metricool","unknown","","3000"
"import-external-attachments","unknown","","3000"
"business-one-toolkit","unknown","","3000"
"woocommerce-myparcel","unknown","","3000"
"reveal-template","unknown","","3000"
"allow-swf-upload","unknown","","3000"
"finale-woocommerce-sales-countdown-timer-discount","unknown","","3000"
"legull","unknown","","3000"
"super-testimonial","unknown","","3000"
"tabbed-login","likely_yes","Doesn't include editor functionality","3000"
"many-tips-together","unknown","","3000"
"yith-woocommerce-tab-manager","unknown","","3000"
"image-sizes","unknown","","3000"
"pl-platform","unknown","","3000"
"twine-social","unknown","","3000"
"wp-soononline-page","unknown","","3000"
"post-date-time-change","unknown","","3000"
"redirect-editor","unknown","","3000"
"woocommerce-category-widget","unknown","","3000"
"buddypress-groups-extras","unknown","","3000"
"wp-web-scrapper","unknown","","3000"
"genesis-author-pro","unknown","","3000"
"seo-image-alt-tags","unknown","","3000"
"cache-external-scripts","likely_yes","Doesn't include editor functionality","3000"
"display-featured-image-genesis","unknown","","3000"
"aspose-doc-exporter","unknown","","3000"
"imagerecycle-pdf-image-compression","unknown","","3000"
"custom-background-extended","unknown","","3000"
"whatsapp-jetpack-button","unknown","","3000"
"slimbox","unknown","","3000"
"wp-facebook-messenger","unknown","","3000"
"digital-publications-by-supsystic","unknown","","3000"
"wp-api-menus","unknown","","3000"
"category-featured-images","unknown","","3000"
"contact-form-7-leads-tracking","unknown","","3000"
"woocommerce-smart-sale-badge","unknown","","3000"
"traffic-manager","unknown","","3000"
"random-banner","unknown","","3000"
"learnpress-prerequisites-courses","unknown","","3000"
"print-invoices-packing-slip-labels-for-woocommerce","unknown","","3000"
"woocommerce-auto-restore-stock","unknown","","3000"
"excerpt-editor","unknown","","3000"
"protected-wp-login","likely_yes","Doesn't include editor functionality","3000"
"woocommerce-multiple-free-gift","unknown","","3000"
"contact-form-to-db","unknown","","3000"
"updraft","likely_yes","Doesn't include editor functionality","3000"
"jquery-vertical-scroller","unknown","","3000"
"redirect-list","unknown","","3000"
"jj-nextgen-jquery-carousel","unknown","","3000"
"sf-taxonomy-thumbnail","unknown","","3000"
"speed-up-optimize-css-delivery","unknown","","3000"
"customize-woocommerce-shop","unknown","","3000"
"broken-link-manager","unknown","","3000"
"cleverreach","unknown","","3000"
"compact-archives","unknown","","3000"
"sp-header-image-slider","unknown","","3000"
"post-feature-widget","unknown","","3000"
"members-import","unknown","","3000"
"wp-glossary","unknown","","3000"
"samsarin-php-widget","unknown","","3000"
"slidedeck","unknown","","3000"
"automatically-paginate-posts","unknown","","3000"
"awesome-surveys","unknown","","3000"
"wp-image-seo","unknown","","3000"
"sharedaddy","unknown","","3000"
"the-countdown","unknown","","3000"
"isape","unknown","","3000"
"most-popular-tags","unknown","","3000"
"spam-byebye","unknown","","3000"
"contact-form-7-lead-info-with-country","unknown","","3000"
"scissors","unknown","","3000"
"totop-link","unknown","","3000"
"wp-flybox","unknown","","3000"
"wplms-mycred-addon","unknown","","3000"
"comment-rating-field-plugin","unknown","","3000"
"so-masonry","unknown","","3000"
"sitemap-index","likely_yes","Doesn't include editor functionality","3000"
"google-analytics-plugin","likely_yes","Doesn't include editor functionality","3000"
"widget-entries","unknown","","3000"
"wp-portfolio","unknown","","3000"
"child-theme-generator","unknown","","3000"
"wp-mass-delete","unknown","","3000"
"gallery-portfolio","unknown","","3000"
"dashboard-commander","unknown","","3000"
"cm-on-demand-search-and-replace","unknown","","3000"
"wp-automatic-updates","unknown","","3000"
"wp2yt-uploader","unknown","","3000"
"kb-advanced-rss-widget","unknown","","3000"
"change-default-login-logo-url-and-title","likely_yes","Doesn't include editor functionality","3000"
"better-file-editor","unknown","","3000"
"yotpo-social-reviews-for-woocommerce","unknown","","3000"
"gravity-forms-duplicate-prevention","unknown","","3000"
"userheat","likely_yes","Doesn't include editor functionality","3000"
"seo-xml-sitemap","unknown","","3000"
"embed-rss","unknown","","3000"
"youtube-simple-gallery","unknown","","3000"
"batcache","unknown","","3000"
"gravity-forms-advanced-file-uploader","unknown","","3000"
"calendar-event","unknown","","3000"
"awesome-widgets-for-siteorigin-page-builder","unknown","","3000"
"thin-out-revisions","unknown","","3000"
"new-social-media-widget","unknown","","3000"
"privilege-menu","unknown","","3000"
"cp-easy-form-builder","unknown","","3000"
"wp-hide-admin-bar","unknown","","3000"
"beacon-by","unknown","","3000"
"ultimate-slider","unknown","","3000"
"tag-dropdown-widget","unknown","","3000"
"odihost-easy-redirect-301","unknown","","3000"
"float-menu","unknown","","3000"
"kindeditor-for-wordpress","unknown","","3000"
"woo-related-products-refresh-on-reload","unknown","","3000"
"embedpress","unknown","","3000"
"tpg-get-posts","unknown","","3000"
"yith-pre-order-for-woocommerce","unknown","","3000"
"sharpen-resized-images","unknown","","3000"
"woo-multi-currency","unknown","","3000"
"genesis-simple-headers","unknown","","3000"
"clean-testimonials","unknown","","3000"
"mini-loops","unknown","","3000"
"advanced-categories-widget","unknown","","3000"
"wp-acceleration-for-china","unknown","","3000"
"contact-form-7-accessible-defaults","unknown","","3000"
"easy-social-sharing","unknown","","3000"
"quiz-cat","unknown","","3000"
"request-call-back","unknown","","3000"
"dmca-badge","unknown","","3000"
"wp-activity","likely_yes","Doesn't include editor functionality","3000"
"link-checker","unknown","","3000"
"rtl-tester","unknown","","3000"
"mainwp-key-maker","unknown","","3000"
"wp-full-auto-tags-manager","unknown","","3000"
"appbanners","unknown","","3000"
"podlove-podcasting-plugin-for-wordpress","unknown","","3000"
"wp-log-viewer","unknown","","3000"
"simple-meta-tags","unknown","","3000"
"contact-form-7-campaign-monitor-extension","unknown","","3000"
"zeno-font-resizer","unknown","","3000"
"network-publisher","unknown","","3000"
"auction-nudge","unknown","","3000"
"yith-woocommerce-custom-order-status","unknown","","3000"
"speakout","unknown","","3000"
"ultimate-reviews","unknown","","3000"
"hifi","unknown","","3000"
"openid","likely_yes","Doesn't include editor functionality","3000"
"shortcode","unknown","","3000"
"section-widget","unknown","","3000"
"wp-gravatar","unknown","","3000"
"google-analytics-adder","likely_yes","Doesn't include editor functionality","3000"
"my-eyes-are-up-here","unknown","","3000"
"wp-author-slug","likely_yes","Doesn't include editor functionality","3000"
"adjust-admin-categories","unknown","","3000"
"log-deprecated-notices","unknown","","3000"
"soslider-social-slider","unknown","","3000"
"custom-login-page-wp","likely_yes","Doesn't include editor functionality","3000"
"popular-posts-by-webline","unknown","","3000"
"button-visually-impaired","unknown","","3000"
"exif-remove-imagemagick","unknown","","3000"
"intensedebate","unknown","","3000"
"continue-shopping-for-woocommerce","unknown","","3000"
"auto-more-tag","unknown","","3000"
"link-indication","unknown","","3000"
"wp-trending-post-slider-and-widget","unknown","","3000"
"linkedin-auto-publish","unknown","","3000"
"typed","unknown","","3000"
"the-excerpt-re-reloaded","unknown","","3000"
"floating-menu","unknown","","3000"
"js-support-ticket","unknown","","3000"
"productsize-chart-for-woocommerce","unknown","","3000"
"google-analytics-y-la-ley-de-cookies","likely_yes","Doesn't include editor functionality","3000"
"wordpress-tooltips","unknown","","3000"
"woocommerce-product-importer","unknown","","3000"
"admin-css-mu","unknown","","3000"
"custom-database-tables","unknown","","3000"
"wp-widgets-shortcode","unknown","","3000"
"smart-reporter-for-wp-e-commerce","unknown","","3000"
"save-import-image-from-url","unknown","","3000"
"admin-customizer","unknown","","3000"
"simple-post-type-permalinks","unknown","","3000"
"amr-ical-events-list","unknown","","3000"
"decorator-woocommerce-email-customizer","unknown","","3000"
"subscription-options","unknown","","3000"
"front-end-only-users","unknown","","3000"
"google-drive-wp-media","unknown","","3000"
"tc-logo-slider","unknown","","3000"
"responsive-portfolio","unknown","","3000"
"instantsearch-for-woocommerce","unknown","","3000"
"wordpress-protection","unknown","","3000"
"easy-wp-parallax-slider","unknown","","3000"
"woocommerce-eu-vat-compliance","unknown","","3000"
"simple-add-pages-or-posts","unknown","","3000"
"ultimate-follow-me","unknown","","3000"
"gzippy","unknown","","3000"
"audience-analytics-by-quantcast","likely_yes","Doesn't include editor functionality","3000"
"visitors-online","unknown","","3000"
"button","unknown","","3000"
"custom-html-bodyhead","unknown","","3000"
"debug","unknown","","3000"
"ocean-modal-window","unknown","","3000"
"batch-comment-spam-deletion","unknown","","3000"
"kpicasa-gallery","unknown","","3000"
"responsive-video-shortcodes","unknown","","3000"
"chatra-live-chat","unknown","","3000"
"fullscreen-galleria","unknown","","3000"
"custom-bulkquick-edit","unknown","","3000"
"ts-webfonts-for-onamaecom","unknown","","3000"
"advanced-booking-calendar","unknown","","3000"
"google-news-sitemap-generator","likely_yes","Doesn't include editor functionality","3000"
"automatic-wordpress-backup","likely_yes","Doesn't include editor functionality","3000"
"accordion-shortcode","unknown","","3000"
"advanced-sitemap-generator","unknown","","3000"
"wd-mailchimp","unknown","","3000"
"woocommerce-vietnam-currency","unknown","","3000"
"wptelegram","unknown","","3000"
"automatic-image-alt-attributes","unknown","","3000"
"alpine-photo-tile-for-picasa-and-google-plus","unknown","","3000"
"wp-exclude-from-homepage","unknown","","3000"
"seamless-sticky-custom-post-types","unknown","","3000"
"total-backup","likely_yes","Doesn't include editor functionality","3000"
"fb-messenger-livechat","unknown","","3000"
"most-and-least-read-posts-widget","unknown","","3000"
"trackable-social-share-icons","likely_yes","Doesn't include editor functionality","3000"
"tiny-carousel-horizontal-slider-plus","unknown","","3000"
"replace-wp-admin-logo","unknown","","3000"
"standout-css3-buttons","unknown","","3000"
"advanced-custom-fields-rgba-color","unknown","","3000"
"phoenix-media-rename","unknown","","3000"
"socialize","unknown","","3000"
"disable-blog","unknown","","3000"
"acf-gravityforms-add-on","unknown","","3000"
"wp-login-logo","likely_yes","Doesn't include editor functionality","3000"
"wp-draftsforfriends","unknown","","3000"
"image-watermark-wp","unknown","","3000"
"yith-woocommerce-product-bundles","unknown","","3000"
"twitters-bootstrap-shortcodes-ultimate","unknown","","3000"
"user-spam-remover","unknown","","3000"
"typecase","unknown","","3000"
"automatic-copyright-year","unknown","","3000"
"wp-lorem-ipsum-generator","unknown","","3000"
"turbo-widgets","unknown","","3000"
"really-simple-gallery-widget","unknown","","3000"
"map-categories-to-pages","unknown","","3000"
"nofollow-links","unknown","","3000"
"buddypress-like","unknown","","3000"
"motopress-slider-lite","unknown","","3000"
"echo-knowledge-base","unknown","","3000"
"drawit","unknown","","3000"
"worpit-admin-dashboard-plugin","unknown","","3000"
"bulk-delete-comments","unknown","","3000"
"responsive-video-light","unknown","","3000"
"tx-onepager","unknown","","3000"
"ip-address-blocker","unknown","","3000"
"maven-algolia","unknown","","3000"
"va-social-buzz","unknown","","3000"
"delete-comments","unknown","","3000"
"coursepress","unknown","","3000"
"hide-update-reminder","unknown","","3000"
"perfect-audience-retargeting","unknown","","3000"
"infusionsoft-official-opt-in-forms","unknown","","3000"
"add-pinterest-follow-button","unknown","","3000"
"woocommerce-login-and-registration","unknown","","3000"
"nextgen-download-gallery","unknown","","3000"
"hyper-cache-extended","unknown","","3000"
"manage-xml-rpc","unknown","","3000"
"yith-woocommerce-subscription","unknown","","3000"
"catch-web-tools","unknown","","3000"
"ticket-tailor","unknown","","3000"
"comment-image","unknown","","3000"
"popularity-posts-widget","unknown","","3000"
"pb-oembed-html5-audio-with-cache-support","unknown","","3000"
"table-sorter","unknown","","3000"
"responsive-image-widget","unknown","","3000"
"piwik-tracking-by-mente-binaria","likely_yes","Doesn't include editor functionality","3000"
"spider-faq","unknown","","3000"
"wp-post-signature","unknown","","3000"
"gallery-widget","unknown","","3000"
"load-more-products-for-woocommerce","unknown","","3000"
"author-category","unknown","","3000"
"auxin-elements","unknown","","3000"
"wp-bouncer","likely_yes","Doesn't include editor functionality","3000"
"html-in-category-and-pages","unknown","","3000"
"seriously-simple-stats","likely_yes","Doesn't include editor functionality","3000"
"google-adsense-dashboard-for-wp","unknown","","3000"
"wsi","unknown","","3000"
"background-per-page","unknown","","3000"
"external-link-rewriter","unknown","","3000"
"woocommerce-quickpay","unknown","","3000"
"contact-form-7-get-and-show-parameter-from-url","unknown","","3000"
"ari-fancy-lightbox","unknown","","3000"
"embedit-pro","unknown","","3000"
"demomentsomtres-wp-export","unknown","","3000"
"zip-recipes","unknown","","3000"
"wordpress-special-characters-in-usernames","unknown","","3000"
"simple-trackback-disabler","unknown","","3000"
"pinterest-badge","unknown","","3000"
"tracking-script-manager","likely_yes","Doesn't include editor functionality","3000"
"protected-posts-logout-button","unknown","","3000"
"custom-post-limits","unknown","","3000"
"user-meta-manager","unknown","","3000"
"location-weather","unknown","","3000"
"who-is-online","unknown","","3000"
"nice-login-register-widget","unknown","","3000"
"wc-speed-drain-repair","unknown","","3000"
"tockify-events-calendar","unknown","","3000"
"rss-for-yandex-zen","unknown","","3000"
"advanced-custom-fields-limiter-field","unknown","","3000"
"json-content-importer","unknown","","3000"
"wp-users-media","unknown","","3000"
"wp-auto-affiliate-links","unknown","","3000"
"chimpy-lite","unknown","","3000"
"eonet-live-notifications","unknown","","3000"
"hdw-player-video-player-video-gallery","unknown","","3000"
"follow-me","unknown","","3000"
"stout-google-calendar","unknown","","3000"
"wp-recall","unknown","","3000"
"pluginception","unknown","","3000"
"wp-issuu","unknown","","3000"
"series","unknown","","3000"
"spots","unknown","","3000"
"wr-contactform","unknown","","3000"
"side-cart-woocommerce","unknown","","3000"
"no-hentry","unknown","","3000"
"featured-articles-lite","unknown","","3000"
"auto-update-plugins","unknown","","3000"
"simple-facebook-og-image","unknown","","3000"
"wp-multilang","unknown","","3000"
"wp-biographia","unknown","","3000"
"reading-time-wp","unknown","","3000"
"very-simple-google-maps","unknown","","3000"
"camera-slideshow","unknown","","3000"
"jquery-responsive-select-menu","unknown","","3000"
"my-shortcodes","unknown","","3000"
"replyme","unknown","","3000"
"osd-social-media-sharing","unknown","","3000"
"bsk-pdf-manager","unknown","","3000"
"social-media-gallery","unknown","","3000"
"unplug-jetpack","unknown","","3000"
"force-ssl","unknown","","3000"
"wordpress-mobile-edition","unknown","","3000"
"amo-team-showcase","unknown","","3000"
"1-click-retweetsharelike","unknown","","3000"
"smart-maintenance-mode","likely_yes","Doesn't include editor functionality","3000"
"custom-post-type-pdf-attachment","unknown","","3000"
"smooth-page-scroll-to-top","unknown","","3000"
"speed-up-lazy-load","unknown","","3000"
"color-filters","unknown","","3000"
"blueimp-lightbox","unknown","","3000"
"yandexmetrika","likely_yes","Doesn't include editor functionality","3000"
"kc-media-enhancements","unknown","","3000"
"are-you-robot-recaptcha","likely_yes","Doesn't include editor functionality","3000"
"random-content","unknown","","3000"
"sp-client-document-manager","unknown","","3000"
"easy2map","unknown","","3000"
"use-shortcodes-in-sidebar-widgets","unknown","","3000"
"focus-videos","unknown","","3000"
"login-and-logout-redirect","likely_yes","Doesn't include editor functionality","3000"
"simple-coming-soon-and-under-construction","unknown","","3000"
"tabs-shortcode","unknown","","3000"
"affiliates-woocommerce-light","unknown","","3000"
"easy-wp-cookie-popup","unknown","","3000"
"ozh-better-feed","unknown","","3000"
"wpecounter","unknown","","3000"
"quick-favicon","unknown","","3000"
"rich-tax-description-editor","unknown","","3000"
"wp-team-manager","unknown","","3000"
"chap-secure-login","likely_yes","Doesn't include editor functionality","3000"
"tippy","unknown","","3000"
"carbon-fields","unknown","","3000"
"all-in-one-cufon","unknown","","3000"
"dx-watermark","unknown","","3000"
"sliced-invoices","unknown","","3000"
"akfeatured-post-widget","unknown","","3000"
"wp-smart-preloader","unknown","","3000"
"wp-ajax-edit-comments","unknown","","3000"
"replace-wp-version","unknown","","3000"
"advanced-custom-fields-taxonomy-field-add-on","unknown","","3000"
"disable-responsive-images","unknown","","3000"
